city,country,location,newCity,newCountry,lat,long,tempF,humidity,cloud,windMPH,maxTemp,timeStamp
ranong,th,"ranong, th",Ranong,TH,9.96,98.62,77,100,20,4.41,77,
arkhipo-osipovka,ru,"arkhipo-osipovka, ru",Arkhipo-Osipovka,RU,44.37,38.53,43.73,69,24,4.63,43.73,
shingu,jp,"shingu, jp",Shingu,JP,33.72,135.99,48.2,57,20,8.05,48.2,
airai,pw,"airai, pw",,,,,,,,,,
bluff,nz,"bluff, nz",Bluff,NZ,-46.6,168.33,57,64,48,5.01,57,
souillac,mu,"souillac, mu",Souillac,MU,-20.52,57.52,75.79,83,75,1.12,77,
tsihombe,mg,"tsihombe, mg",,,,,,,,,,
vuktyl,ru,"vuktyl, ru",Vuktyl,RU,63.86,57.31,27.17,78,88,4.74,27.17,
kazlu ruda,lt,"kazlu ruda, lt",Kazlu Ruda,LT,54.77,23.5,35.6,64,0,3.36,35.6,
richards bay,za,"richards bay, za",Richards Bay,ZA,-28.77,32.06,72.08,87,0,11.12,72.08,
kaitangata,nz,"kaitangata, nz",Kaitangata,NZ,-46.28,169.85,63,48,0,21,63,
esperance,au,"esperance, au",Esperance,AU,-33.86,121.89,62.6,55,40,20.8,62.6,
taoudenni,ml,"taoudenni, ml",Taoudenni,ML,22.68,-3.98,57.14,72,0,4.52,57.14,
cuamba,mz,"cuamba, mz",Cuamba,MZ,-14.8,36.54,63.35,96,8,5.41,63.35,
coahuayana,mx,"coahuayana, mx",Coahuayana,MX,18.62,-100.35,85.58,18,0,2.28,85.58,
bredasdorp,za,"bredasdorp, za",Bredasdorp,ZA,-34.53,20.04,60.8,82,0,11.41,60.8,
hulst,nl,"hulst, nl",Hulst,NL,51.28,4.05,43.21,70,0,11.41,46,
sinjar,iq,"sinjar, iq",Sinjar,IQ,36.32,41.88,51.29,99,88,7.2,51.29,
luderitz,na,"luderitz, na",Luderitz,NA,-26.65,15.16,60.83,81,8,18.72,60.83,
halalo,wf,"halalo, wf",,,,,,,,,,
codrington,ag,"codrington, ag",,,,,,,,,,
williston,us,"williston, us",Williston,US,48.15,-103.62,37.87,48,90,10.29,41,
zaozerne,ua,"zaozerne, ua",Zaozerne,UA,51.37,23.94,36.53,59,0,11.45,36.53,
iwai,jp,"iwai, jp",Iwai,JP,36.05,139.9,49.53,52,20,5.82,57,
atuona,pf,"atuona, pf",Atuona,PF,-9.8,-139.03,81.8,100,32,10.78,81.8,
itaporanga,br,"itaporanga, br",Itaporanga,BR,-7.3,-38.15,70.46,96,92,3.29,70.46,
payson,us,"payson, us",Payson,US,40.04,-111.73,52.54,29,40,5.82,54,
arraial do cabo,br,"arraial do cabo, br",Arraial do Cabo,BR,-22.97,-42.02,75.86,95,24,5.97,75.86,
bethel,us,"bethel, us",Bethel,US,60.79,-161.76,47.26,46,1,9.17,50,
louisbourg,ca,"louisbourg, ca",,,,,,,,,,
qaanaaq,gl,"qaanaaq, gl",Qaanaaq,GL,77.48,-69.36,-3.53,85,44,4.41,-3.53,
bandarbeyla,so,"bandarbeyla, so",Bandarbeyla,SO,9.49,50.81,78.74,100,8,4.41,78.74,
salalah,om,"salalah, om",Salalah,OM,17.01,54.1,78.8,74,20,5.82,78.8,
illoqqortoormiut,gl,"illoqqortoormiut, gl",,,,,,,,,,
geraldton,au,"geraldton, au",Geraldton,AU,-28.77,114.6,71.6,73,36,4.7,71.6,
jamestown,sh,"jamestown, sh",Jamestown,SH,-15.94,-5.72,76.04,100,80,15.37,76.04,
kapaa,us,"kapaa, us",Kapaa,US,22.08,-159.32,80.35,54,40,16.11,82,
umzimvubu,za,"umzimvubu, za",,,,,,,,,,
ushuaia,ar,"ushuaia, ar",Ushuaia,AR,-54.81,-68.31,50.54,76,75,4.7,51.8,
thompson,ca,"thompson, ca",Thompson,CA,55.74,-97.86,28.4,50,90,10.29,28.4,
cabo san lucas,mx,"cabo san lucas, mx",Cabo San Lucas,MX,22.89,-109.91,81.45,36,5,2.24,84.99,
mount isa,au,"mount isa, au",Mount Isa,AU,-20.73,139.49,68,40,0,8.05,68,
nizhneyansk,ru,"nizhneyansk, ru",,,,,,,,,,
aksarka,ru,"aksarka, ru",Aksarka,RU,66.56,67.8,21.5,84,76,14.03,21.5,
letohrad,cz,"letohrad, cz",Letohrad,CZ,50.04,16.5,42.03,61,40,6.93,46.99,
rodrigues alves,br,"rodrigues alves, br",Rodrigues Alves,BR,-7.74,-72.65,77,94,40,4.63,77,
eshowe,za,"eshowe, za",Eshowe,ZA,-28.89,31.46,62.27,88,0,1.72,62.27,
east london,za,"east london, za",East London,ZA,-33.02,27.91,72.53,100,20,5.19,72.53,
colares,pt,"colares, pt",Colares,PT,38.8,-9.45,57.92,82,0,5.82,60.01,
carnarvon,au,"carnarvon, au",Carnarvon,AU,-24.87,113.63,78.8,88,44,8.05,78.8,
hanna,ca,"hanna, ca",Hanna,CA,51.64,-111.93,45.21,47,88,5.01,46,
teguldet,ru,"teguldet, ru",Teguldet,RU,57.31,88.17,33.56,88,56,10.56,33.56,
neyshabur,ir,"neyshabur, ir",Neyshabur,IR,36.21,58.79,43.64,85,48,11.23,43.64,
kodiak,us,"kodiak, us",Kodiak,US,39.95,-94.76,44.92,11,1,6.93,46,
port alfred,za,"port alfred, za",Port Alfred,ZA,-33.59,26.89,67.94,100,88,14.03,67.94,
roblin,ca,"roblin, ca",Roblin,CA,51.23,-101.35,32.12,93,44,9.1,32.12,
dudinka,ru,"dudinka, ru",Dudinka,RU,69.41,86.18,28.34,93,68,19.51,28.34,
miranorte,br,"miranorte, br",,,,,,,,,,
daru,pg,"daru, pg",Daru,PG,-9.07,143.21,81.44,99,64,6.53,81.44,
choma,zm,"choma, zm",Choma,ZM,-16.81,26.98,58.85,75,0,6.42,58.85,
teya,ru,"teya, ru",Teya,RU,60.37,92.63,35.72,84,88,10.45,35.72,
kochevo,ru,"kochevo, ru",Kochevo,RU,59.6,54.31,35.99,93,92,11.79,35.99,
utete,tz,"utete, tz",Utete,TZ,-7.99,38.76,72.71,96,20,1.95,72.71,
christchurch,nz,"christchurch, nz",Christchurch,NZ,-43.53,172.64,76.39,33,0,23.04,80.01,
iqaluit,ca,"iqaluit, ca",Iqaluit,CA,63.75,-68.52,6.8,71,75,5.82,6.8,
great malvern,gb,"great malvern, gb",Great Malvern,GB,52.11,-2.33,40.21,80,1,10.11,43,
pevek,ru,"pevek, ru",Pevek,RU,69.7,170.27,8.45,81,0,2.73,8.45,
punta arenas,cl,"punta arenas, cl",Punta Arenas,CL,-53.16,-70.91,53.28,71,75,14.99,53.6,
hobart,au,"hobart, au",Hobart,AU,-42.88,147.33,55.72,58,75,8.05,57.99,
bonavista,ca,"bonavista, ca",Bonavista,CA,48.65,-53.11,42.01,85,8,1.99,42.01,
saravan,la,"saravan, la",,,,,,,,,,
hilo,us,"hilo, us",Hilo,US,19.71,-155.08,76.46,78,90,6.93,80.01,
cape town,za,"cape town, za",Cape Town,ZA,-33.93,18.42,59.95,72,40,8.05,62.01,
wuda,cn,"wuda, cn",Wuda,CN,39.5,106.72,30.23,39,0,7.54,30.23,
saint-philippe,re,"saint-philippe, re",Saint-Philippe,RE,-21.36,55.77,74.12,69,75,6.93,78.8,
sirjan,ir,"sirjan, ir",Sirjan,IR,29.44,55.67,48.77,68,20,7.99,48.77,
klaksvik,fo,"klaksvik, fo",Klaksvik,FO,62.23,-6.59,42.8,87,68,11.41,42.8,
okhotsk,ru,"okhotsk, ru",Okhotsk,RU,59.36,143.24,30.77,67,0,5.64,30.77,
guerrero negro,mx,"guerrero negro, mx",Guerrero Negro,MX,27.97,-114.04,81.53,23,36,12.24,81.53,
saint-leu,re,"saint-leu, re",Saint-Leu,RE,-21.15,55.28,74.16,69,75,6.93,78.8,
avarua,ck,"avarua, ck",Avarua,CK,-21.21,-159.78,80.6,88,12,6.93,80.6,
mullaitivu,lk,"mullaitivu, lk",,,,,,,,,,
upernavik,gl,"upernavik, gl",Upernavik,GL,72.79,-56.15,10.52,100,56,2.62,10.52,
baherden,tm,"baherden, tm",Baherden,TM,38.44,57.43,41.75,90,92,11.01,41.75,
hwange,zw,"hwange, zw",Hwange,ZW,-18.35,26.5,63.44,61,0,4.07,63.44,
hami,cn,"hami, cn",Hami,CN,42.84,93.51,43.37,55,76,5.41,43.37,
hithadhoo,mv,"hithadhoo, mv",Hithadhoo,MV,-0.6,73.08,82.97,100,0,5.41,82.97,
cherskiy,ru,"cherskiy, ru",Cherskiy,RU,68.75,161.3,11.33,71,0,2.62,11.33,
half moon bay,us,"half moon bay, us",Half Moon Bay,US,37.46,-122.43,71.6,52,75,14.99,78.01,
pangnirtung,ca,"pangnirtung, ca",Pangnirtung,CA,66.15,-65.72,8.45,78,76,8.55,8.45,
lebu,cl,"lebu, cl",Lebu,CL,-37.62,-73.65,54.89,97,64,5.75,54.89,
goya,ar,"goya, ar",Goya,AR,-29.14,-59.27,77.48,81,48,12.68,77.48,
zapolyarnyy,ru,"zapolyarnyy, ru",Zapolyarnyy,RU,69.43,30.82,23,79,0,36.91,23,
cidreira,br,"cidreira, br",Cidreira,BR,-30.17,-50.22,69.83,95,32,1.39,69.83,
saldanha,za,"saldanha, za",Saldanha,ZA,-33.01,17.94,58.22,90,0,11.68,58.22,
bengkulu,id,"bengkulu, id",,,,,,,,,,
itarema,br,"itarema, br",Itarema,BR,-2.92,-39.92,79.01,94,92,4.41,79.01,
puerto ayora,ec,"puerto ayora, ec",Puerto Ayora,EC,-0.74,-90.35,82.49,70,20,16.11,84.2,
izamal,mx,"izamal, mx",Izamal,MX,20.93,-89.02,84.31,51,20,13.87,86,
varadero,cu,"varadero, cu",Varadero,CU,23.15,-81.25,77,61,20,13.87,77,
sibolga,id,"sibolga, id",Sibolga,ID,1.74,98.78,69.65,100,48,2.06,69.65,
gazanjyk,tm,"gazanjyk, tm",Gazanjyk,TM,39.24,55.52,43.01,75,44,19.28,43.01,
yumen,cn,"yumen, cn",Yumen,CN,40.29,97.04,30.68,63,36,1.95,30.68,
falealupo,ws,"falealupo, ws",,,,,,,,,,
viedma,ar,"viedma, ar",Viedma,AR,-40.81,-62.99,77.57,45,12,10.78,77.57,
clyde river,ca,"clyde river, ca",Clyde River,CA,70.47,-68.59,1.4,91,90,9.17,1.4,
portland,au,"portland, au",Portland,AU,-33.35,149.98,56.32,69,0,1.99,57.99,
bonthe,sl,"bonthe, sl",Bonthe,SL,7.53,-12.5,81.53,87,0,4.74,81.53,
vredendal,za,"vredendal, za",Vredendal,ZA,-31.68,18.49,50.93,87,80,2.73,50.93,
mehamn,no,"mehamn, no",Mehamn,NO,71.03,27.85,29.69,82,80,23.76,29.69,
merrill,us,"merrill, us",Merrill,US,42.03,-121.6,61.14,17,1,4.7,63,
teeli,ru,"teeli, ru",Teeli,RU,51.01,90.2,13.4,61,48,2.28,13.4,
vila do maio,cv,"vila do maio, cv",Vila do Maio,CV,15.13,-23.22,69.8,68,20,16.11,69.8,
taolanaro,mg,"taolanaro, mg",,,,,,,,,,
chuy,uy,"chuy, uy",Chuy,UY,-33.69,-53.46,66.59,93,24,6.87,66.59,
meyungs,pw,"meyungs, pw",,,,,,,,,,
barentsburg,sj,"barentsburg, sj",,,,,,,,,,
the valley,ai,"the valley, ai",The Valley,AI,18.22,-63.06,78.91,69,40,8.05,80.6,
norman wells,ca,"norman wells, ca",Norman Wells,CA,65.28,-126.83,35.6,93,90,14.99,35.6,
namatanai,pg,"namatanai, pg",Namatanai,PG,-3.66,152.44,82.07,100,64,13.47,82.07,
peruibe,br,"peruibe, br",Peruibe,BR,-24.32,-47,78.11,98,80,14.92,78.11,
mocambique,mz,"mocambique, mz",,,,,,,,,,
punta cardon,ve,"punta cardon, ve",Punta Cardon,VE,11.61,-70.22,84.23,64,12,23.31,84.23,
aflu,dz,"aflu, dz",,,,,,,,,,
mys shmidta,ru,"mys shmidta, ru",,,,,,,,,,
turangi,nz,"turangi, nz",Turangi,NZ,-39,175.93,68,86,92,5.99,68,
vaini,to,"vaini, to",Vaini,TO,-21.2,-175.2,78.8,94,75,12.75,78.8,
waipawa,nz,"waipawa, nz",Waipawa,NZ,-39.94,176.59,71.01,71,100,16.04,71.01,
san quintin,mx,"san quintin, mx",,,,,,,,,,
maniitsoq,gl,"maniitsoq, gl",Maniitsoq,GL,65.42,-52.9,21.95,87,76,14.47,21.95,
karratha,au,"karratha, au",Karratha,AU,-20.74,116.85,80.72,52,32,7.87,80.72,
saskylakh,ru,"saskylakh, ru",Saskylakh,RU,71.97,114.09,24.2,86,68,15.03,24.2,
khatanga,ru,"khatanga, ru",Khatanga,RU,71.98,102.47,28.79,95,92,9.22,28.79,
porto novo,cv,"porto novo, cv",Porto Novo,CV,17.02,-25.06,69.8,56,20,23.04,69.8,
wad madani,sd,"wad madani, sd",,,,,,,,,,
fortuna,us,"fortuna, us",Fortuna,US,40.6,-124.16,57.65,100,1,13.87,61,
hamilton,bm,"hamilton, bm",Hamilton,BM,32.3,-64.78,68.25,83,75,8.05,69.8,
attawapiskat,ca,"attawapiskat, ca",,,,,,,,,,
sentyabrskiy,ru,"sentyabrskiy, ru",,,,,,,,,,
sobolevo,ru,"sobolevo, ru",Sobolevo,RU,54.43,31.9,36.89,66,0,16.71,36.89,
huilong,cn,"huilong, cn",Huilong,CN,31.15,106.5,54.26,87,80,2.62,54.26,
sistranda,no,"sistranda, no",Sistranda,NO,63.73,8.83,33.87,80,75,11.41,37,
kavieng,pg,"kavieng, pg",Kavieng,PG,-2.57,150.8,83.78,100,80,7.31,83.78,
peyima,sl,"peyima, sl",Peyima,SL,8.69,-11.04,81.44,65,8,8.55,81.44,
demirci,tr,"demirci, tr",Demirci,TR,39.05,28.66,28.88,86,0,2.39,28.88,
calamar,co,"calamar, co",Calamar,CO,1.96,-72.65,76.13,88,80,1.05,76.13,
jalu,ly,"jalu, ly",Jalu,LY,29.03,21.55,52.82,51,12,7.54,52.82,
kiboga,ug,"kiboga, ug",Kiboga,UG,0.92,31.77,65.06,92,36,1.5,65.06,
boddam,gb,"boddam, gb",Boddam,GB,57.47,-1.78,35.92,80,8,5.82,37.99,
homer,us,"homer, us",Homer,US,59.64,-151.54,47.34,57,1,6.93,51.01,
ponta do sol,cv,"ponta do sol, cv",Ponta do Sol,CV,17.2,-25.09,69.8,56,20,23.04,69.8,
darnah,ly,"darnah, ly",Darnah,LY,32.77,22.64,60.2,98,0,19.17,60.2,
tulun,ru,"tulun, ru",Tulun,RU,54.56,100.58,28.79,83,20,5.75,28.79,
juba,sd,"juba, sd",,,,,,,,,,
provideniya,ru,"provideniya, ru",Provideniya,RU,64.42,-173.23,28.4,86,90,2.24,28.4,
fort nelson,ca,"fort nelson, ca",Fort Nelson,CA,58.81,-122.69,48.2,31,20,11.41,48.2,
dongsheng,cn,"dongsheng, cn",Dongsheng,CN,29.72,112.52,51.29,82,0,2.84,51.29,
acarau,br,"acarau, br",,,,,,,,,,
verkhnevilyuysk,ru,"verkhnevilyuysk, ru",Verkhnevilyuysk,RU,63.45,120.31,23.12,72,32,6.42,23.12,
lorengau,pg,"lorengau, pg",Lorengau,PG,-2.02,147.27,83.6,96,48,10.22,83.6,
baruun-urt,mn,"baruun-urt, mn",Baruun-Urt,MN,46.68,113.28,18.98,61,0,2.51,18.98,
ulaanbaatar,mn,"ulaanbaatar, mn",Ulaanbaatar,MN,47.92,106.92,21.2,41,40,4.47,21.2,
victoria,sc,"victoria, sc",Victoria,SC,-4.62,55.45,82.4,78,40,4.7,82.4,
biltine,td,"biltine, td",Biltine,TD,14.53,20.93,72.44,21,0,10.33,72.44,
denpasar,id,"denpasar, id",Denpasar,ID,-8.65,115.22,78.8,83,20,1.12,78.8,
los llanos de aridane,es,"los llanos de aridane, es",Los Llanos de Aridane,ES,28.66,-17.92,57.07,67,92,6.93,60.8,
rio gallegos,ar,"rio gallegos, ar",Rio Gallegos,AR,-51.62,-69.22,55.4,71,0,14.58,55.4,
coquimbo,cl,"coquimbo, cl",Coquimbo,CL,-29.95,-71.34,60.8,77,0,9.17,60.8,
paso de carrasco,uy,"paso de carrasco, uy",Paso de Carrasco,UY,-34.86,-56.05,69.37,94,40,10.29,70,
rocha,uy,"rocha, uy",Rocha,UY,-34.48,-54.34,65.33,90,36,5.3,65.33,
whitehorse,ca,"whitehorse, ca",Whitehorse,CA,60.72,-135.06,46.38,39,20,6.93,48,
san cristobal,ec,"san cristobal, ec",San Cristobal,EC,-1.02,-79.44,65.24,99,76,2.62,65.24,
husavik,is,"husavik, is",Husavik,IS,66.04,-17.34,37.4,64,20,10.29,37.4,
cascas,pe,"cascas, pe",Cascas,PE,-7.48,-78.82,66.2,63,40,3.36,66.2,
mergui,mm,"mergui, mm",,,,,,,,,,
qaqortoq,gl,"qaqortoq, gl",Qaqortoq,GL,60.72,-46.03,15.8,47,0,6.93,15.8,
mayo,ca,"mayo, ca",Mayo,CA,63.59,-135.9,50,37,90,9.17,50,
sao filipe,cv,"sao filipe, cv",Sao Filipe,CV,14.9,-24.5,70.91,96,0,14.81,70.91,
puerto baquerizo moreno,ec,"puerto baquerizo moreno, ec",Puerto Baquerizo Moreno,EC,-0.9,-89.6,86,70,40,11.41,86,
mahebourg,mu,"mahebourg, mu",Mahebourg,MU,-20.41,57.7,75.79,83,75,1.12,77,
lata,sb,"lata, sb",,,,,,,,,,
kavaratti,in,"kavaratti, in",Kavaratti,IN,10.57,72.64,83.96,100,0,11.45,83.96,
longyearbyen,sj,"longyearbyen, sj",Longyearbyen,SJ,78.22,15.64,6.8,65,75,4.7,6.8,
kanniyakumari,in,"kanniyakumari, in",Kanniyakumari,IN,8.08,77.57,84.59,98,0,12.8,84.59,
hasaki,jp,"hasaki, jp",Hasaki,JP,35.73,140.83,47.44,100,40,9.17,50,
nampula,mz,"nampula, mz",Nampula,MZ,-15.12,39.26,69.56,83,0,4.97,69.56,
baicheng,cn,"baicheng, cn",Baicheng,CN,45.61,122.87,30.86,44,8,9.33,30.86,
marsh harbour,bs,"marsh harbour, bs",Marsh Harbour,BS,26.54,-77.06,73.97,100,0,3.96,73.97,
sitio novo do tocantins,br,"sitio novo do tocantins, br",,,,,,,,,,
arlit,ne,"arlit, ne",Arlit,NE,18.74,7.39,74.06,30,0,2.95,74.06,
englewood,us,"englewood, us",Englewood,US,39.65,-104.99,46.06,42,75,5.82,50,
tinskoy,ru,"tinskoy, ru",Tinskoy,RU,56.15,96.92,35.09,91,44,6.08,35.09,
mackay,au,"mackay, au",Mackay,AU,-21.15,149.2,77.74,60,40,14.99,81,
la ronge,ca,"la ronge, ca",La Ronge,CA,55.1,-105.3,33.8,47,20,14.99,33.8,
olafsvik,is,"olafsvik, is",,,,,,,,,,
georgetown,sh,"georgetown, sh",Georgetown,SH,-7.93,-14.42,81.71,100,92,15.03,81.71,
camacha,pt,"camacha, pt",Camacha,PT,33.08,-16.33,59,77,20,9.17,59,
adrar,dz,"adrar, dz",Adrar,DZ,27.87,-0.29,66.2,48,0,10.29,66.2,
leningradskiy,ru,"leningradskiy, ru",Leningradskiy,RU,69.38,178.42,7.64,92,24,9.66,7.64,
port hardy,ca,"port hardy, ca",Port Hardy,CA,50.7,-127.42,48.2,76,20,5.82,48.2,
tigil,ru,"tigil, ru",Tigil,RU,57.8,158.67,32.93,92,0,10.11,32.93,
taltal,cl,"taltal, cl",Taltal,CL,-25.41,-70.49,60.11,92,0,2.51,60.11,
grand river south east,mu,"grand river south east, mu",,,,,,,,,,
touros,br,"touros, br",Touros,BR,-5.2,-35.46,78.8,100,75,2.24,78.8,
iracoubo,gf,"iracoubo, gf",Iracoubo,GF,5.48,-53.21,79.64,71,80,5.64,79.64,
grindavik,is,"grindavik, is",Grindavik,IS,63.84,-22.43,31.78,100,40,13.87,33.01,
kuching,my,"kuching, my",Kuching,MY,1.56,110.34,75.07,94,75,2.24,75.2,
beitbridge,zw,"beitbridge, zw",Beitbridge,ZW,-22.22,30,67.04,91,0,4.74,67.04,
copiapo,cl,"copiapo, cl",Copiapo,CL,-27.37,-70.33,62.6,72,20,16.11,62.6,
quesnel,ca,"quesnel, ca",Quesnel,CA,52.98,-122.49,55.4,28,1,3.36,55.4,
qui nhon,vn,"qui nhon, vn",,,,,,,,,,
beira,mz,"beira, mz",Beira,MZ,-19.84,34.84,75.2,100,20,5.82,75.2,
puerto narino,co,"puerto narino, co",Puerto Narino,CO,-3.77,-70.38,78.8,100,40,2.24,78.8,
ribeira grande,pt,"ribeira grande, pt",Ribeira Grande,PT,38.52,-28.7,59.3,100,68,24.87,59.3,
pacific grove,us,"pacific grove, us",Pacific Grove,US,36.62,-121.92,71.96,67,1,6.93,79,
pathein,mm,"pathein, mm",Pathein,MM,16.78,94.73,71.36,92,0,5.19,71.36,
cockburn town,tc,"cockburn town, tc",Cockburn Town,TC,21.46,-71.14,77.75,100,0,10.45,77.75,
saint george,bm,"saint george, bm",Saint George,BM,32.38,-64.68,66.87,88,75,8.05,68,
buluang,ph,"buluang, ph",Buluang,PH,10.47,123.98,80.6,65,20,8.05,80.6,
baghdad,iq,"baghdad, iq",Baghdad,IQ,33.3,44.38,60.8,93,0,5.82,60.8,
havelock,us,"havelock, us",Havelock,US,34.88,-76.9,60.21,63,90,13.87,62.6,
port blair,in,"port blair, in",Port Blair,IN,11.67,92.75,83.24,100,0,7.87,83.24,
grand-santi,gf,"grand-santi, gf",Grand-Santi,GF,4.27,-54.38,85.49,55,92,4.63,85.49,
hingorja,pk,"hingorja, pk",Hingorja,PK,27.21,68.42,68.93,39,0,2.73,68.93,
sao sebastiao do paraiso,br,"sao sebastiao do paraiso, br",Sao Sebastiao do Paraiso,BR,-20.92,-46.99,66.23,79,20,3.18,66.23,
san andres,co,"san andres, co",San Andres,CO,8.22,-76.58,82.4,78,75,11.41,82.4,
cabedelo,br,"cabedelo, br",Cabedelo,BR,-6.97,-34.84,78.8,100,75,3.36,78.8,
altamont,us,"altamont, us",Altamont,US,37.19,-95.3,47.19,34,1,4.7,48.2,
vieques,us,"vieques, us",,,,,,,,,,
tutoia,br,"tutoia, br",Tutoia,BR,-2.76,-42.27,78.11,94,68,4.97,78.11,
sept-iles,ca,"sept-iles, ca",Sept-Iles,CA,50.2,-66.38,37.45,93,90,13.87,37.99,
port lincoln,au,"port lincoln, au",Port Lincoln,AU,-34.72,135.86,62.09,100,32,2.17,62.09,
tarnova,ro,"tarnova, ro",Tarnova,RO,46.32,21.8,41,60,0,2.24,41,
lavrentiya,ru,"lavrentiya, ru",Lavrentiya,RU,65.58,-170.99,28.34,100,32,4.97,28.34,
aklavik,ca,"aklavik, ca",Aklavik,CA,68.22,-135.01,33.8,80,90,13.87,33.8,
vostok,ru,"vostok, ru",Vostok,RU,46.45,135.83,26.09,76,80,2.95,26.09,
chokurdakh,ru,"chokurdakh, ru",Chokurdakh,RU,70.62,147.9,17.09,90,0,4.41,17.09,
pisco,pe,"pisco, pe",Pisco,PE,-13.71,-76.2,71.6,30,20,23.04,71.6,
yellowknife,ca,"yellowknife, ca",Yellowknife,CA,62.45,-114.38,35.2,69,90,20.8,35.6,
bathsheba,bb,"bathsheba, bb",Bathsheba,BB,13.22,-59.52,78.8,74,20,11.41,78.8,
lulea,se,"lulea, se",Lulea,SE,65.58,22.15,30.2,58,0,11.41,30.2,
wewak,pg,"wewak, pg",Wewak,PG,-3.55,143.63,81.89,86,56,2.51,81.89,
camocim,br,"camocim, br",Camocim,BR,-2.9,-40.84,78.65,91,92,5.19,78.65,
faanui,pf,"faanui, pf",Faanui,PF,-16.48,-151.75,83.87,100,0,5.41,83.87,
port elizabeth,za,"port elizabeth, za",Port Elizabeth,ZA,-33.92,25.57,62.6,88,75,19.46,62.6,
nyurba,ru,"nyurba, ru",Nyurba,RU,63.29,118.35,24.02,73,24,6.42,24.02,
mount gambier,au,"mount gambier, au",Mount Gambier,AU,-37.83,140.78,53.6,93,90,4.7,53.6,
korla,cn,"korla, cn",Korla,CN,41.76,86.15,36.8,67,44,4.18,36.8,
mira,pt,"mira, pt",Mira,PT,40.43,-8.74,59.34,82,75,2.24,61,
vao,nc,"vao, nc",Vao,NC,-22.67,167.48,77.3,100,0,8.43,77.3,
katsuura,jp,"katsuura, jp",Katsuura,JP,33.93,134.5,46.36,57,20,25.28,48.2,
vallenar,cl,"vallenar, cl",Vallenar,CL,-28.58,-70.76,56.96,87,0,1.16,56.96,
roma,au,"roma, au",Roma,AU,-26.57,148.79,62.36,66,0,7.65,62.36,
tabiauea,ki,"tabiauea, ki",,,,,,,,,,
sakakah,sa,"sakakah, sa",,,,,,,,,,
bambous virieux,mu,"bambous virieux, mu",Bambous Virieux,MU,-20.34,57.76,75.85,83,75,1.12,77,
tuktoyaktuk,ca,"tuktoyaktuk, ca",Tuktoyaktuk,CA,69.44,-133.03,24.8,85,90,16.11,24.8,
baturaja,id,"baturaja, id",Baturaja,ID,-4.12,104.17,71.99,98,92,5.97,71.99,
samarai,pg,"samarai, pg",Samarai,PG,-10.62,150.67,75.23,100,92,6.76,75.23,
grand centre,ca,"grand centre, ca",,,,,,,,,,
ancud,cl,"ancud, cl",Ancud,CL,-41.87,-73.83,55.4,100,90,5.82,55.4,
sangar,ru,"sangar, ru",Sangar,RU,63.92,127.47,13.76,73,0,1.5,13.76,
