city,country,location,newCity,newCountry,lat,long,tempF,humidity,cloud,windMPH,maxTemp,date
bayanday,ru,"bayanday, ru",Bayanday,RU,53.07,105.52,39.08,35,8,3.85,39.08,2019-03-31
lebu,cl,"lebu, cl",Lebu,CL,-37.62,-73.65,54.74,98,92,10.11,54.74,2019-03-31
new norfolk,au,"new norfolk, au",New Norfolk,AU,-42.78,147.06,59.61,44,75,11.41,61,2019-03-31
tura,ru,"tura, ru",Tura,RU,64.27,100.22,35.3,81,92,6.76,35.3,2019-03-31
charters towers,au,"charters towers, au",Charters Towers,AU,-20.07,146.27,72.38,85,64,8.21,72.38,2019-03-31
tuktoyaktuk,ca,"tuktoyaktuk, ca",Tuktoyaktuk,CA,69.44,-133.03,21.2,85,75,23.04,21.2,2019-03-31
chicama,pe,"chicama, pe",Chicama,PE,-7.84,-79.15,69.8,88,75,10.29,69.8,2019-03-31
zagorje ob savi,si,"zagorje ob savi, si",Zagorje ob Savi,SI,46.13,15,38.82,84,0,2.24,46,2019-03-31
anaconda,us,"anaconda, us",Anaconda,US,46.13,-112.94,41,52,90,6.93,41,2019-03-31
ambon,id,"ambon, id",Ambon,ID,-3.7,128.18,84.35,92,56,12.46,84.35,2019-03-31
algete,es,"algete, es",Algete,ES,40.6,-3.5,46.96,93,40,3.36,50,2019-03-31
cockburn town,tc,"cockburn town, tc",Cockburn Town,TC,21.46,-71.14,77.15,100,0,11.23,77.15,2019-03-31
khatanga,ru,"khatanga, ru",Khatanga,RU,71.98,102.47,30.53,97,88,6.64,30.53,2019-03-31
torbay,ca,"torbay, ca",Torbay,CA,47.66,-52.73,38.21,100,90,13.87,42.01,2019-03-31
faya,td,"faya, td",,,,,,,,,,2019-03-31
zeya,ru,"zeya, ru",Zeya,RU,53.74,127.27,28.55,43,0,3.74,28.55,2019-03-31
atambua,id,"atambua, id",Atambua,ID,-9.11,124.89,83.81,96,0,4.18,83.81,2019-03-31
kruisfontein,za,"kruisfontein, za",Kruisfontein,ZA,-34,24.73,58.7,91,32,22.08,58.7,2019-03-31
jamestown,sh,"jamestown, sh",Jamestown,SH,-15.94,-5.72,75.35,100,88,14.81,75.35,2019-03-31
mar del plata,ar,"mar del plata, ar",Mar del Plata,AR,-46.43,-67.52,63.2,48,36,13.13,63.2,2019-03-31
nelson bay,au,"nelson bay, au",Nelson Bay,AU,-32.72,152.14,68.32,59,75,11.41,72,2019-03-31
qaanaaq,gl,"qaanaaq, gl",Qaanaaq,GL,77.48,-69.36,-1.79,79,68,6.42,-1.79,2019-03-31
miri,my,"miri, my",Miri,MY,4.41,114.01,84.2,79,40,8.05,84.2,2019-03-31
nha trang,vn,"nha trang, vn",Nha Trang,VN,12.24,109.19,86,74,20,2.24,86,2019-03-31
iqaluit,ca,"iqaluit, ca",Iqaluit,CA,63.75,-68.52,3.2,77,75,4.18,3.2,2019-03-31
rawson,ar,"rawson, ar",Rawson,AR,-43.3,-65.11,57.26,49,0,2.95,57.26,2019-03-31
catuday,ph,"catuday, ph",Catuday,PH,16.29,119.81,83.9,91,20,6.31,83.9,2019-03-31
kirkland lake,ca,"kirkland lake, ca",Kirkland Lake,CA,48.15,-80.03,21.2,53,1,6.93,21.2,2019-03-31
saint george,bm,"saint george, bm",Saint George,BM,32.38,-64.68,66.47,88,40,8.05,68,2019-03-31
margate,za,"margate, za",Margate,ZA,-30.86,30.37,72.11,94,48,9.55,72.11,2019-03-31
ouesso,cg,"ouesso, cg",Ouesso,CG,1.61,16.05,71.12,98,56,1.61,71.12,2019-03-31
carnarvon,au,"carnarvon, au",Carnarvon,AU,-24.87,113.63,82.4,78,20,5.82,82.4,2019-03-31
upernavik,gl,"upernavik, gl",Upernavik,GL,72.79,-56.15,10.73,100,80,4.85,10.73,2019-03-31
hilo,us,"hilo, us",Hilo,US,19.71,-155.08,75.72,83,90,16.11,80.01,2019-03-31
san patricio,mx,"san patricio, mx",San Patricio,MX,19.22,-104.7,80.6,74,5,11.41,80.6,2019-03-31
candido mendes,br,"candido mendes, br",Candido Mendes,BR,-1.45,-45.72,78.86,100,88,7.76,78.86,2019-03-31
georgetown,sh,"georgetown, sh",Georgetown,SH,-7.93,-14.42,82.46,99,8,15.26,82.46,2019-03-31
villa del rosario,ve,"villa del rosario, ve",Villa del Rosario,VE,10.32,-72.31,70.49,91,32,6.2,70.49,2019-03-31
mount gambier,au,"mount gambier, au",Mount Gambier,AU,-37.83,140.78,60.8,55,90,3.36,60.8,2019-03-31
rio rancho,us,"rio rancho, us",Rio Rancho,US,35.27,-106.63,33.82,93,90,9.17,37,2019-03-31
mackay,au,"mackay, au",Mackay,AU,-21.15,149.2,81.72,65,90,12.75,82.99,2019-03-31
victoria,sc,"victoria, sc",Victoria,SC,-4.62,55.45,82.4,78,20,4.7,82.4,2019-03-31
mataura,pf,"mataura, pf",,,,,,,,,,2019-03-31
east london,za,"east london, za",East London,ZA,-33.02,27.91,71.21,100,80,27.34,71.21,2019-03-31
devonport,au,"devonport, au",Devonport,AU,-41.18,146.36,63.66,47,0,8.01,66,2019-03-31
xucheng,cn,"xucheng, cn",Xucheng,CN,33,118.51,77,44,0,1.01,77,2019-03-31
racine,us,"racine, us",Racine,US,42.73,-87.78,29.84,63,1,8.32,33.01,2019-03-31
dikson,ru,"dikson, ru",Dikson,RU,73.51,80.55,30.17,97,76,19.39,30.17,2019-03-31
mys shmidta,ru,"mys shmidta, ru",,,,,,,,,,2019-03-31
airai,pw,"airai, pw",,,,,,,,,,2019-03-31
buala,sb,"buala, sb",Buala,SB,-8.15,159.59,80.03,100,92,2.51,80.03,2019-03-31
la rioja,ar,"la rioja, ar",La Rioja,AR,-29.41,-66.86,69.86,83,12,4.07,69.86,2019-03-31
sioux lookout,ca,"sioux lookout, ca",Sioux Lookout,CA,50.1,-91.92,29.46,50,75,3.36,30.2,2019-03-31
namibe,ao,"namibe, ao",Namibe,AO,-15.19,12.15,77.87,100,0,6.2,77.87,2019-03-31
howard springs,au,"howard springs, au",Howard Springs,AU,-12.5,131.05,88.95,52,0,10.29,90,2019-03-31
sentyabrskiy,ru,"sentyabrskiy, ru",,,,,,,,,,2019-03-31
pisco,pe,"pisco, pe",Pisco,PE,-13.71,-76.2,75.2,69,12,10.29,75.2,2019-03-31
puerto ayora,ec,"puerto ayora, ec",Puerto Ayora,EC,-0.74,-90.35,79,91,0,6.98,79,2019-03-31
liverpool,ca,"liverpool, ca",Liverpool,CA,44.04,-64.71,46,96,80,4,46,2019-03-31
kirn,de,"kirn, de",Kirn,DE,49.79,7.46,42.6,86,0,8.05,48,2019-03-31
kahului,us,"kahului, us",Kahului,US,20.89,-156.47,79.5,58,40,11.41,86,2019-03-31
bethel,us,"bethel, us",Bethel,US,60.79,-161.76,49.05,43,1,6.93,51.8,2019-03-31
itarema,br,"itarema, br",Itarema,BR,-2.92,-39.92,77.69,97,92,4.18,77.69,2019-03-31
taolanaro,mg,"taolanaro, mg",,,,,,,,,,2019-03-31
nador,ma,"nador, ma",Nador,MA,35.17,-2.93,54.48,93,0,3.36,55.4,2019-03-31
goundam,ml,"goundam, ml",Goundam,ML,16.42,-3.66,83.9,32,12,16.71,83.9,2019-03-31
arraial do cabo,br,"arraial do cabo, br",Arraial do Cabo,BR,-22.97,-42.02,74.99,98,20,3.62,74.99,2019-03-31
isiro,cd,"isiro, cd",Isiro,CD,2.77,27.62,67.7,97,24,2.62,67.7,2019-03-31
rafai,cf,"rafai, cf",Rafai,CF,4.95,23.92,74.18,75,12,8.43,74.18,2019-03-31
cape town,za,"cape town, za",Cape Town,ZA,-33.93,18.42,59.32,72,40,11.41,61,2019-03-31
butaritari,ki,"butaritari, ki",Butaritari,KI,3.07,172.79,80.93,100,88,9.55,80.93,2019-03-31
leningradskiy,ru,"leningradskiy, ru",Leningradskiy,RU,69.38,178.42,11,92,56,12.24,11,2019-03-31
ponta do sol,cv,"ponta do sol, cv",Ponta do Sol,CV,17.2,-25.09,69.8,60,20,23.04,69.8,2019-03-31
thompson,ca,"thompson, ca",Thompson,CA,55.74,-97.86,26.6,49,75,8.05,26.6,2019-03-31
castro,cl,"castro, cl",Castro,CL,-42.48,-73.76,53.6,100,90,6.93,53.6,2019-03-31
avarua,ck,"avarua, ck",Avarua,CK,-21.21,-159.78,84.2,83,0,10.29,84.2,2019-03-31
sri aman,my,"sri aman, my",Sri Aman,MY,1.24,111.46,82.4,83,75,2.24,82.4,2019-03-31
santa fe,cu,"santa fe, cu",Santa Fe,CU,23.13,-82.26,73.2,69,20,5.82,73.4,2019-03-31
hasaki,jp,"hasaki, jp",Hasaki,JP,35.73,140.83,55.11,30,40,6.93,57,2019-03-31
bredasdorp,za,"bredasdorp, za",Bredasdorp,ZA,-34.53,20.04,56.86,82,8,9.17,57.99,2019-03-31
asau,tv,"asau, tv",,,,,,,,,,2019-03-31
meulaboh,id,"meulaboh, id",Meulaboh,ID,4.14,96.13,82.73,100,12,3.4,82.73,2019-03-31
bengkulu,id,"bengkulu, id",,,,,,,,,,2019-03-31
kibala,ao,"kibala, ao",,,,,,,,,,2019-03-31
inirida,co,"inirida, co",Inirida,CO,3.87,-67.92,76.52,94,0,2.17,76.52,2019-03-31
atuona,pf,"atuona, pf",Atuona,PF,-9.8,-139.03,82.28,100,20,12.01,82.28,2019-03-31
altay,cn,"altay, cn",Altay,CN,47.83,88.13,38.45,71,8,2.73,38.45,2019-03-31
sisimiut,gl,"sisimiut, gl",Sisimiut,GL,66.94,-53.67,13.16,100,68,2.06,13.16,2019-03-31
tarudant,ma,"tarudant, ma",,,,,,,,,,2019-03-31
biltine,td,"biltine, td",Biltine,TD,14.53,20.93,68.15,24,0,8.77,68.15,2019-03-31
narsaq,gl,"narsaq, gl",Narsaq,GL,60.91,-46.05,14,43,0,9.17,14,2019-03-31
haines junction,ca,"haines junction, ca",Haines Junction,CA,60.75,-137.51,37.19,50,0,2.06,37.19,2019-03-31
xingcheng,cn,"xingcheng, cn",Xingcheng,CN,40.62,120.71,49.61,27,0,11.68,49.61,2019-03-31
louisbourg,ca,"louisbourg, ca",,,,,,,,,,2019-03-31
san cristobal,ec,"san cristobal, ec",San Cristobal,EC,-1.02,-79.44,63.38,100,56,0.83,63.38,2019-03-31
skibbereen,ie,"skibbereen, ie",Skibbereen,IE,51.55,-9.27,41,93,75,5.82,41,2019-03-31
taltal,cl,"taltal, cl",Taltal,CL,-25.41,-70.49,55.19,100,12,1.5,55.19,2019-03-31
xiangdong,cn,"xiangdong, cn",,,,,,,,,,2019-03-31
tyrma,ru,"tyrma, ru",Tyrma,RU,50.04,132.17,31.97,55,44,3.62,31.97,2019-03-31
bambous virieux,mu,"bambous virieux, mu",Bambous Virieux,MU,-20.34,57.76,75.09,94,40,9.17,75.2,2019-03-31
antigonish,ca,"antigonish, ca",Antigonish,CA,45.62,-61.99,39.33,100,90,8.05,44.01,2019-03-31
maragogi,br,"maragogi, br",Maragogi,BR,-9.01,-35.22,77.96,98,88,2.95,77.96,2019-03-31
college,us,"college, us",College,US,64.86,-147.8,51.6,45,1,4.7,55.4,2019-03-31
ribeira grande,pt,"ribeira grande, pt",Ribeira Grande,PT,38.52,-28.7,59.33,100,64,25.55,59.33,2019-03-31
jiddah,sa,"jiddah, sa",,,,,,,,,,2019-03-31
saskylakh,ru,"saskylakh, ru",Saskylakh,RU,71.97,114.09,26.39,92,44,13.24,26.39,2019-03-31
albany,au,"albany, au",Albany,AU,-35.02,117.88,77,44,76,18.34,77,2019-03-31
salym,ru,"salym, ru",Salym,RU,60.06,71.48,31.52,69,0,10.78,31.52,2019-03-31
barcelos,br,"barcelos, br",Barcelos,BR,-0.97,-62.93,80.21,89,12,2.62,80.21,2019-03-31
illoqqortoormiut,gl,"illoqqortoormiut, gl",,,,,,,,,,2019-03-31
chuy,uy,"chuy, uy",Chuy,UY,-33.69,-53.46,64.01,90,44,4.97,64.01,2019-03-31
dhidhdhoo,mv,"dhidhdhoo, mv",Dhidhdhoo,MV,6.88,73.1,84.35,100,0,3.4,84.35,2019-03-31
aklavik,ca,"aklavik, ca",Aklavik,CA,68.22,-135.01,30.2,80,90,16.11,30.2,2019-03-31
gushikawa,jp,"gushikawa, jp",Gushikawa,JP,26.35,127.87,62.96,52,75,17.22,64.4,2019-03-31
serdobsk,ru,"serdobsk, ru",Serdobsk,RU,52.46,44.21,34.94,89,36,13.13,34.94,2019-03-31
pangnirtung,ca,"pangnirtung, ca",Pangnirtung,CA,66.15,-65.72,7.31,75,76,7.2,7.31,2019-03-31
port-gentil,ga,"port-gentil, ga",Port-Gentil,GA,-0.72,8.78,81.92,98,8,5.97,81.92,2019-03-31
bonavista,ca,"bonavista, ca",Bonavista,CA,48.65,-53.11,34,87,48,4,34,2019-03-31
port elizabeth,za,"port elizabeth, za",Port Elizabeth,ZA,-33.92,25.57,64.4,77,0,29.97,64.4,2019-03-31
clyde river,ca,"clyde river, ca",Clyde River,CA,70.47,-68.59,1.4,91,90,6.93,1.4,2019-03-31
indija,rs,"indija, rs",,,,,,,,,,2019-03-31
saint-francois,gp,"saint-francois, gp",Saint-Francois,GP,16.25,-61.27,75.2,78,20,3.36,75.2,2019-03-31
cabedelo,br,"cabedelo, br",Cabedelo,BR,-6.97,-34.84,77,100,75,5.82,77,2019-03-31
paso de los toros,uy,"paso de los toros, uy",Paso de los Toros,UY,-32.81,-56.52,71.03,88,68,9.66,71.03,2019-03-31
ketchikan,us,"ketchikan, us",Ketchikan,US,55.34,-131.65,52.74,57,1,13.87,53.6,2019-03-31
willowmore,za,"willowmore, za",Willowmore,ZA,-33.3,23.49,50.6,84,68,8.77,50.6,2019-03-31
laguna,br,"laguna, br",,,,,,,,,,2019-03-31
mount isa,au,"mount isa, au",Mount Isa,AU,-20.73,139.49,77,29,0,10.29,77,2019-03-31
saint-pierre,pm,"saint-pierre, pm",Saint-Pierre,PM,46.77,-56.17,34.85,90,88,17.16,34.85,2019-03-31
saint-philippe,re,"saint-philippe, re",Saint-Philippe,RE,-21.36,55.77,72.82,65,0,5.82,78.8,2019-03-31
cairo montenotte,it,"cairo montenotte, it",Cairo Montenotte,IT,44.4,8.27,48.69,76,0,2.24,51.8,2019-03-31
samarai,pg,"samarai, pg",Samarai,PG,-10.62,150.67,76.34,100,92,13.35,76.34,2019-03-31
karratha,au,"karratha, au",Karratha,AU,-20.74,116.85,98.03,28,0,3.62,98.03,2019-03-31
canutama,br,"canutama, br",Canutama,BR,-6.53,-64.38,78.05,91,0,2.17,78.05,2019-03-31
acari,pe,"acari, pe",Acari,PE,-15.44,-74.62,59.24,89,20,1.5,59.24,2019-03-31
languyan,ph,"languyan, ph",Languyan,PH,5.26,120.08,82.19,98,80,10.22,82.19,2019-03-31
tidore,id,"tidore, id",,,,,,,,,,2019-03-31
bluff,nz,"bluff, nz",Bluff,NZ,-46.6,168.33,57,55,64,7,57,2019-03-31
ust-maya,ru,"ust-maya, ru",Ust-Maya,RU,60.42,134.54,28.46,57,0,5.3,28.46,2019-03-31
hohhot,cn,"hohhot, cn",Hohhot,CN,40.81,111.65,39.2,19,0,4.47,39.2,2019-03-31
vardo,no,"vardo, no",Vardo,NO,70.37,31.11,33.86,100,0,30.13,33.86,2019-03-31
dingle,ie,"dingle, ie",Dingle,IE,52.14,-10.27,46.01,100,12,4.63,46.01,2019-03-31
kavieng,pg,"kavieng, pg",Kavieng,PG,-2.57,150.8,82.46,100,36,7.87,82.46,2019-03-31
palabuhanratu,id,"palabuhanratu, id",,,,,,,,,,2019-03-31
tasiilaq,gl,"tasiilaq, gl",Tasiilaq,GL,65.61,-37.64,21.2,67,88,14.99,21.2,2019-03-31
mormugao,in,"mormugao, in",,,,,,,,,,2019-03-31
chokurdakh,ru,"chokurdakh, ru",Chokurdakh,RU,70.62,147.9,21.35,96,0,4.97,21.35,2019-03-31
north bend,us,"north bend, us",North Bend,US,43.41,-124.22,51.53,87,90,6.93,53.01,2019-03-31
cabinda,ao,"cabinda, ao",Cabinda,AO,-5.56,12.19,82.73,100,88,7.99,82.73,2019-03-31
camana,pe,"camana, pe",,,,,,,,,,2019-03-31
port harcourt,ng,"port harcourt, ng",Port Harcourt,NG,4.77,7.02,74.45,94,0,4.18,74.45,2019-03-31
pangai,to,"pangai, to",Pangai,TO,-19.8,-174.35,82.4,83,40,6.93,82.4,2019-03-31
broome,au,"broome, au",Broome,AU,-17.97,122.23,89.6,43,0,9.17,89.6,2019-03-31
vao,nc,"vao, nc",Vao,NC,-22.67,167.48,77.6,100,20,8.99,77.6,2019-03-31
guangyuan,cn,"guangyuan, cn",Guangyuan,CN,32.43,105.86,67.44,55,92,2.95,68,2019-03-31
chimbote,pe,"chimbote, pe",Chimbote,PE,-9.08,-78.59,67.88,95,20,8.77,67.88,2019-03-31
jumla,np,"jumla, np",Jumla,NP,29.28,82.18,34.13,82,32,1.72,34.13,2019-03-31
calama,cl,"calama, cl",Calama,CL,-22.46,-68.93,62.6,36,0,6.93,62.6,2019-03-31
sitrah,bh,"sitrah, bh",Sitrah,BH,26.15,50.62,75.2,69,0,18.34,75.2,2019-03-31
tabuk,ph,"tabuk, ph",Tabuk,PH,17.41,121.44,75.62,79,20,2.95,75.62,2019-03-31
dudinka,ru,"dudinka, ru",Dudinka,RU,69.41,86.18,29.45,94,80,17.83,29.45,2019-03-31
qui nhon,vn,"qui nhon, vn",,,,,,,,,,2019-03-31
nioro,ml,"nioro, ml",,,,,,,,,,2019-03-31
lompoc,us,"lompoc, us",Lompoc,US,34.64,-120.46,63.73,63,1,5.82,71.6,2019-03-31
morristown,us,"morristown, us",Morristown,US,36.21,-83.29,38.34,41,20,9.17,42.8,2019-03-31
huarmey,pe,"huarmey, pe",Huarmey,PE,-10.07,-78.15,64.28,90,8,3.96,64.28,2019-03-31
hamilton,bm,"hamilton, bm",Hamilton,BM,32.3,-64.78,66.54,88,40,8.05,68,2019-03-31
seoul,kr,"seoul, kr",Seoul,KR,37.57,126.98,45.66,24,1,5.82,48.2,2019-03-31
san matias,bo,"san matias, bo",San Matias,BO,-16.36,-58.4,78.05,86,0,2.95,78.05,2019-03-31
asbe teferi,et,"asbe teferi, et",Asbe Teferi,ET,9.08,40.87,59.33,63,76,2.73,59.33,2019-03-31
sao filipe,cv,"sao filipe, cv",Sao Filipe,CV,14.9,-24.5,70.31,98,0,14.7,70.31,2019-03-31
santana,br,"santana, br",Santana,BR,-0.06,-51.18,78.8,100,75,5.82,78.8,2019-03-31
pevek,ru,"pevek, ru",Pevek,RU,69.7,170.27,11.63,76,20,3.29,11.63,2019-03-31
deputatskiy,ru,"deputatskiy, ru",Deputatskiy,RU,69.3,139.9,19.01,90,32,3.74,19.01,2019-03-31
dharmadam,in,"dharmadam, in",Dharmadam,IN,11.78,75.43,83,71,0,3.18,83,2019-03-31
kaeo,nz,"kaeo, nz",Kaeo,NZ,-35.1,173.78,71.01,95,92,5.99,71.01,2019-03-31
tayu,id,"tayu, id",Tayu,ID,-6.54,111.05,84.62,92,24,3.96,84.62,2019-03-31
riverton,nz,"riverton, nz",Riverton,NZ,-46.35,168.02,57,55,76,7,57,2019-03-31
barsovo,ru,"barsovo, ru",Barsovo,RU,61.17,73.17,32,93,75,15.66,32,2019-03-31
nouadhibou,mr,"nouadhibou, mr",Nouadhibou,MR,20.93,-17.03,63.2,90,8,18.84,63.2,2019-03-31
mitsamiouli,km,"mitsamiouli, km",Mitsamiouli,KM,-11.38,43.28,82.55,100,68,7.65,82.55,2019-03-31
jalu,ly,"jalu, ly",Jalu,LY,29.03,21.55,47.9,68,0,3.74,47.9,2019-03-31
ouadda,cf,"ouadda, cf",Ouadda,CF,8.07,22.4,78.23,49,36,3.74,78.23,2019-03-31
prince rupert,ca,"prince rupert, ca",Prince Rupert,CA,54.32,-130.32,53.6,58,1,4.7,53.6,2019-03-31
boguchany,ru,"boguchany, ru",Boguchany,RU,58.38,97.46,41.15,76,80,8.77,41.15,2019-03-31
naze,jp,"naze, jp",Naze,JP,28.37,129.48,62.6,42,20,17.22,62.6,2019-03-31
baykit,ru,"baykit, ru",Baykit,RU,61.68,96.39,33.95,91,92,12.12,33.95,2019-03-31
najran,sa,"najran, sa",Najran,SA,17.54,44.22,73.4,28,0,2.24,73.4,2019-03-31
aksarka,ru,"aksarka, ru",Aksarka,RU,66.56,67.8,21.44,92,36,10.89,21.44,2019-03-31
moose factory,ca,"moose factory, ca",Moose Factory,CA,51.26,-80.61,17.6,57,1,4.7,17.6,2019-03-31
galgani,sd,"galgani, sd",,,,,,,,,,2019-03-31
beringovskiy,ru,"beringovskiy, ru",Beringovskiy,RU,63.05,179.32,32.6,96,88,16.26,32.6,2019-03-31
asfi,ma,"asfi, ma",,,,,,,,,,2019-03-31
buchanan,lr,"buchanan, lr",Buchanan,LR,5.88,-10.05,78.8,94,20,5.19,78.8,2019-03-31
mantua,cu,"mantua, cu",Mantua,CU,22.29,-84.28,76.43,72,80,2.06,76.43,2019-03-31
yulara,au,"yulara, au",Yulara,AU,-25.24,130.99,73.4,23,0,16.11,73.4,2019-03-31
mahebourg,mu,"mahebourg, mu",Mahebourg,MU,-20.41,57.7,74.53,94,40,9.17,75.2,2019-03-31
north myrtle beach,us,"north myrtle beach, us",North Myrtle Beach,US,33.83,-78.68,61.52,72,40,16.04,64.4,2019-03-31
tygda,ru,"tygda, ru",Tygda,RU,53.11,126.33,35.93,33,0,5.97,35.93,2019-03-31
boras,se,"boras, se",Boras,SE,57.72,12.94,25.54,63,0,3.36,30.2,2019-03-31
marzuq,ly,"marzuq, ly",,,,,,,,,,2019-03-31
isla vista,us,"isla vista, us",Isla Vista,US,34.41,-119.86,63.55,63,1,5.82,66,2019-03-31
linxia,cn,"linxia, cn",Linxia,CN,35.6,103.21,51.86,26,20,3.74,51.86,2019-03-31
cherskiy,ru,"cherskiy, ru",Cherskiy,RU,68.75,161.3,16.13,68,0,3.96,16.13,2019-03-31
aljustrel,pt,"aljustrel, pt",Aljustrel,PT,37.88,-8.16,54.95,93,0,4.7,55.99,2019-03-31
senmonorom,kh,"senmonorom, kh",,,,,,,,,,2019-03-31
elko,us,"elko, us",Elko,US,40.83,-115.76,50.86,23,1,5.82,53.6,2019-03-31
zhigansk,ru,"zhigansk, ru",Zhigansk,RU,66.77,123.37,26.93,78,64,8.43,26.93,2019-03-31
constitucion,mx,"constitucion, mx",Constitucion,MX,23.99,-104.67,73.76,10,20,12.75,77,2019-03-31
krasnoselkup,ru,"krasnoselkup, ru",,,,,,,,,,2019-03-31
los llanos de aridane,es,"los llanos de aridane, es",Los Llanos de Aridane,ES,28.66,-17.92,55.71,67,92,6.93,59,2019-03-31
cayenne,gf,"cayenne, gf",Cayenne,GF,4.94,-52.33,78.8,78,80,6.98,78.8,2019-03-31
balabac,ph,"balabac, ph",Balabac,PH,7.99,117.06,83.45,97,0,8.77,83.45,2019-03-31
polunochnoye,ru,"polunochnoye, ru",Polunochnoye,RU,60.87,60.43,28.28,96,92,8.77,28.28,2019-03-31
matay,eg,"matay, eg",Matay,EG,28.42,30.79,46.91,59,8,5.19,46.91,2019-03-31
kaitangata,nz,"kaitangata, nz",Kaitangata,NZ,-46.28,169.85,61,42,32,13,61,2019-03-31
tambul,sd,"tambul, sd",,,,,,,,,,2019-03-31
ghazipur,in,"ghazipur, in",Ghazipur,IN,25.59,83.59,77.6,63,0,6.08,77.6,2019-03-31
ballina,ie,"ballina, ie",Ballina,IE,54.11,-9.15,41,87,32,1.99,43,2019-03-31
bangui,cf,"bangui, cf",Bangui,CF,4.39,18.55,78.8,78,0,2.24,78.8,2019-03-31
gamba,ga,"gamba, ga",Gamba,GA,-2.72,10.02,82.37,100,92,6.31,82.37,2019-03-31
